Id,Prediction
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,1
